grantee,diversity_means,diversity_importance,acted,support_hiring,support_programming,other_advice
Public Land Solutions,"Public Land in the West, will only be conserved and protected if it is valued by all types of people. Thus, diversity, equity, and inclusion in the context of Western Conservation means finding ways to share public lands with all peoples by pursuing, soliciting and incorporating the voices and opinions of all races, genders, ethnicities in our work to project and celebrate Western public lands.","Many communities in the West remain much less diversified than urban areas and minority voices often play a marginalized role in public land discussions. Diversity, equity, and inclusion values are important in the context of Western Conservation because diverse voices can bring a broader understanding of the underlying issues with regard to history, social dynamics, and current politics. Lasting remedies for conservation issues in the West will require the ideas and the support of all groups in the broader population, so not only do we need everyone’s ideas for solutions, we also need their support for implementation. Many communities in the West have marginalized minority voices, and while it’s the right thing to do to respect and honor diverse voices, it also greatly helps to understand the historical dynamics of issues such as environmental racism, and the best way to appropriately address such problems.","Public Land Solutions is a young organization that has only been around for five years and has three total employees. PLS was founded by two white individuals, one male the other female, and we have one female staff hired two years ago. Thus we have had little opportunity to integrate diversity, equity, and inclusion into hiring practices or workplace culture. Nonetheless, moving forward we are committed to fostering diversity, equity, and inclusion among existing staff/board, and with any future hiring decisions, we will actively seek qualified candidates of diverse heritage and backgrounds. This diversity will be increasingly important as we work more in areas with Native American and Hispanic populations.","This survey is a very good start as it encourages grantees to consider internal policies and what they can do differently to foster diversity, equity and inclusion into hiring practices. Also, the Foundation can strongly encourage grantee organizations – especially smaller ones like PLS that perhaps have not had much opportunity to consider diversity practices/policies – to develop a formal diversity policy and begin a conversation among staff and board about how organizations can become more aware of this issue and more effective in implementing such policies.","Land protection supported only by our white-dominant constituency of business owners will not be enough. The general support we receive from the Foundation has been critical to our ability to build a broad array of relationships with business owners and elected officials of diverse backgrounds in communities with diverse populations. Grants with specific schedules of deliverables can lead grantees to the low hanging fruit of the usual voices to achieve a goal, whereas more general support has allowed us to take the time to seek out and develop more diverse voices.  While perhaps there could be some specific incentive to recruit more diversity, at PLS our work with Hewlett has allowed us to move beyond the grant to grant, deliverable to deliverable cycle and giving us more time to recruit broader voices.","Consider asking grantees if their mission or project includes an opportunity to promote diversity either through staffing, partners, or constituencies. The questions would inspire thought and might lead grantees to pursue opportunities that might otherwise have been overlooked. In addition, consider elevating organizations (through grants and leadership positions on campaigns) that have a mission or project focus related to minority constituents."
Resources Legacy Fund,"Western environmental policies and funding have neither involved, nor taken into account, the full diversity of westerners. Communities of color bear the greatest burden of the adverse effects of inequitable decision making and have not proportionately enjoyed the benefits of environmental programs and approaches. RLF seeks to ensure that environmental priorities and outcomes better reflect the needs, values, and faces of the West, particularly in California, the nation’s most populous state. Incorporating diversity, equity, and inclusion into all our work, both internally and externally, will transform decision making and yield policies, programs, and projects more relevant to all westerners. This, in turn, will strengthen the overall conservation movement for generations to come.","RLF’s experience proves that the participation of broader and more inclusive constituencies strengthens and broadens environmental outcomes by better aligning priorities and resources with the needs of underserved communities, which in turn extends and deepens support for conservation of land, ocean, and water resources. Keen and steady focus on diversity, equity, and inclusion create better projects that improve more people’s lives and thus build grassroots support for natural resources conservation.",,,,
Sierra Club,"To us, embracing the values of diversity, equity and inclusion means designing and implementing our work in conjunction with racially, socioeconomically and geographically varied staff and partners, in a way that is responsive to the communities most impacted by the problems we are trying to solve, to ultimately make the world a more just, fair and healthy place. We must internalize and implement these values the context of Western Conservation both to help us foster a robust movement that can be successful in protecting wild places for generations to come, and to help us overcome the culture of exclusivity rooted in the history of the American lands protection movement. Finally, as greater percentages of people live in cities and are removed from any connection to nature, we must actively work to increase access and exposure to the great outdoors, so that we can inspire the next generation of environmentalists. People are much less likely to help us defend and protect our public lands if they have no connection to them, so fostering a welcoming culture in the outdoor movement and increasing equitable access both helps us make the world a more just place and achieve our end goal of protecting these cherished lands by inspiring people to help us do so.",,"Yes, the Sierra Club has been working for several decades to integrate these values into our hiring practices and workplace culture. In 2014 the Sierra Club Board of Directors adopted our first multi-year diversity, equity and inclusion plan. In 2016 Sierra Club doubled down on our commitment to equity, inclusion and justice by creating a department to manage our own internal self-transformation into an anti-oppressive organization. In that same year, Nellis Kennedy Howard was hired to serve as Sierra Club’s first-ever Director of the Department of Equity, Inclusion, and Justice. In 2017, all  850 staff and 150 volunteers will attend Growing for Change workshops.","Hewlett’s commitment to its grantees embracing these values is very helpful in allowing us the room to do this work. Of course, these investments take resources, and financial support specifically for this work would help us continue to expand it. Sponsoring paid internships or fellowships at our organization to engage in the advocacy work could also help provide entry-level opportunities that could increase the pool of diverse staff gaining experience in our field.","In addition to continued financial support, which allows us to do this important advocacy work in partnership with diverse allies and embracing these values, support from  the Hewlett Foundation to do this work “at the speed of trust,” as our Environmental Justice Program Director says, is hugely helpful.","The Sierra Club has embraced The Jemez Principles as guides for how we do this work, and are helpful, specific commitments we can all make as a means of living these values. We recommend these be integrated into your ongoing work as well. https://www.ejnet.org/ej/jemez.pdf"
Sonoran Institute,Greater diversity of engagement leads to more enduring conservation. Greater equity means more people benefit from our actions. Greater inclusion can reduce the extent of misunderstanding or opposition to our work.,Because the population we serve is diverse.,"As we have strived to become a more effective binational organization, we sought to hire people who are bilingual (English and Spanish) for programs and departments in both the U.S. and Mexico. We also are creating teams around issues and functions that cut across our offices in both countries.",Provide grants that allows NGOs to hire fellows from diverse communities. Provide general support grants to organizations that demonstrate greater commitments to diversity.,Provide grants that allow for re-grant to partner organizations that represent diverse constituencies as a way to solidify partnership and build capacity.,"Continue to get out into the field, visit with grantees and prospective grantees that demonstrate commitments to diversity."
Sustainable Northwest,"Considering diversity, equity, and inclusion in the context of Western Conservation means that an organization, group of individuals, or a single individual truly considers the impact—both direct and indirect, and short and long-term—that their behaviors have upon the people of the West who are touched in any way by conservation. Impacts may be felt by ecosystems, wildlife, economies, communities, social structures, cultures, aesthetics, and individuals in an indeterminable number of detectable and undetectable ways. Behaviors range from those at the organization level, such as strategic planning, project selection, hiring practice, organizational policies and office norms—and at the human level, like group and one-on-one verbal and non-verbal communication styles, tones, and words. Overall, it means being especially tuned into the world around you, deliberate, and thoughtful as you pursue conservation work.","The West is exceptionally diverse; but not always in the most obvious ways. Here in the Pacific Northwest, some take the overly-simplistic view that most people are Caucasian or that those west of the Cascade Mountains have the money and the desire to protect the environment, while those to the east are lower on the socioeconomic ladder and want to exploit natural resources. The so-called “urban-rural divide” is not only faulty thinking: communities in the West are obviously not that simple. In fact, the Pacific Northwest—both sides of the Cascades—have considerable diversity of ethnic background, culture, and opportunity (including the ability to adapt to change). These similarities mean that the principles and practices of diversity, equity, and inclusion likely transcend geography, but also must be tailored to the local socio-political and cultural dynamic if they’re to be effective. Conservation groups and our rural community partners face wicked, interconnected challenges that require collaboratively developed, durable solutions; and our success is dependent upon our ability to engage all those who are most affected by the impacts of unsustainable land management practices. This requires organizations to truly listen, learn, and include the views of the diverse people that live in the vast landscapes of the rural West. The majority of natural resources and the people capable of stewarding them for future generations reside in rural communities.","Programmatically, Sustainable Northwest prioritizes work and services in natural resource-dependent rural communities suffering from chronic unemployment, poverty, and transition in the wake of evolving political, economic, and ecological realities. We maintain a core focus on inclusion of diverse, underrepresented, and marginalized communities in key decision-making processes, and strive to ensure that solutions provide maximum benefit for long-term landscape and local community health. Operationally, SNW completed a strategic planning process in 2015 and engaged a graduate fellow of Asian-American descent, and the Board will advance a resolution to establish key diversity, equity and inclusion metrics within its organizational performance indicators along with financial health, community economic vitality, and ecological health. The organization also recently recruited two women and one Hispanic member to our Board. As part of its hiring policy, SNW seeks to broaden organizational diversity through hiring efforts, actively recruiting candidates of diverse racial and ethnic backgrounds, gender identity and sexual orientation, national origin, and economic background. Finding applicants that represent the cultural diversity of our primary constituencies served remains a challenge, but one we continue to consider how to address. In terms of workplace culture, we have historically maintained a very ‘horizontal’ and transparent workplace culture, where all levels of staff participate in organizational decisions and have access to organizational information.","Provide funding for development of diversity policies, offer matching funding to help cover some of the time for a staff member to lead diversity education and implementation, and ultimately, require future grant applicants to have a diversity plan in place as a requirement for grant award.","To be candid, making time to integrate new elements into already complex and under-funded efforts can be a real challenge. Partners are at hourly and mental capacity, agendas are full, and constituents are swimming in myriad difficult issues. Funding low impact education catered to rural and underserved communities—who as we have noted often don’t initially perceive equity issues in their places—is a good place to start, with a goal of slowly building DEI understanding and concepts into day-to-day activities and work plans. Once there have been capacity investments in conservation organizations, developing required equity trainings or an equity plan as a condition of funding for programming is another option.","Hewlett’s leadership on this issue is critical because diversity, equity, and inclusion in Western Conservation is one of the most challenging and under-recognized issues of our time. In implementing this work, it is important to recognize that there is no one size fits all solution for the range of communities in the American West; seek to both educate and learn from your grantors and their constituencies to decide how to best integrate place-informed strategies and requirements. Then, work to ensure that DEI efforts are complementary too, but do consume the work of your grantors. Clear guidance and reasonable expectations of progress can help assure that every successive project includes a greater consideration of these important issues."
Taxpayers for Common Sense,"The engagement of diverse constituencies, especially those adversely impacted by development on federal lands, starting from the identification of goals, planning, and strategies.","When diverse constituencies are engaged in policy change, the process takes longer, but the result is more durable. The conservation community has a long history of being criticized for being driven by elite coastal voices that fail to understand the nuances of western economies and communities. Regardless of the truth of that view, engaging a broader set of communities and providing earlier and equal voices at the table will help shift that perception - and reality.","In making recent hires, we have engaged a search consultant in order to attract a diverse pool.  We are expanding the board and prioritizing adding people of color and diverse backgrounds to the board.","The foundation can provide support to organizations to work with recruiters and search consultants, even for lower level positions, to ensure diverse candidate pools.  Often hires are not planned for (because of turnover) so there may not be budget to get recruitment help.  The foundation can also provide research on best practices and case studies that illustrate how to change workplace culture.",The foundation can convene meetings of diverse organizations and of leaders of organizations with diverse backgrounds and identities.,"Two things the Western Conservation program could do to promote diversity, equity, and inclusion would be to provide connections between leaders of different backgrounds in a setting where leaders can identify true areas of agreement and disagreement."
The Wilderness Society,"As an organization, we are committed to ensuring that our workforce represents the broad array of racial, ethnic, socioeconomic and political backgrounds throughout the North American West and all the places that we work. Our effectiveness as an organization is strengthened by a workforce that embodies diversity in all its forms — a rich mix of talent, work experiences, perspectives, backgrounds, and beliefs that we need to fully achieve our mission. Internally, we define inclusiveness as working as a team that listens to different points of view, recognizes the contributions of every employee and empowers each employee to bring their whole selves to work every day. Externally this means ensuring that public lands are inclusive and welcoming, so that our shared wildlands can help people and nature to thrive. We define equity as our commitment to realizing the promise of our public lands and ensuring that all can share in their universal benefits.",,"Since January 2017, all hiring managers seeking to fill open positions have been expected to follow standards outlined in a new Recruitment and Hiring Policy. Among other requirements, the policy specifically requires that a minimum number of people of color be included in the first-round interview stage. In addition, the organization has begun the important work of expanding our recruitment networks, as these are key to our success in attracting the best talent and building a team that truly reflects the communities we aim to serve. Recognizing our hiring managers and hiring committee members play key roles in ensuring our recruitment and hiring practices are fair and consistent, we have provided ongoing support and training in this area.  As part of our annual goal-setting process, all staff were asked to incorporate at least one inclusivity-focused goal into their individual workplans for FY17.  Finally, this past summer a Workplace Culture Working Group was launched with the task of better defining the behaviors that contribute to an inclusive culture.","Funding is critically important to success in these two areas—thank you for your support! As Hewlett evaluates organizations it is considering funding, it could ask for more detailed information, such as requesting strategic plans, to better evaluate each organization’s commitment to diversity, equity and inclusion, their understanding of how these values impact their mission, and how they plan to integrate these values into their everyday work. The Foundation might consider requiring grantees to demonstrate a real commitment to this work as a condition of getting Hewlett’s support.","Organization strategic plans and goals should include a focus on the values of diversity, equity and inclusion, and in particular embedding equity into their programmatic work. Requiring these plans be in place before funding is provided may help evaluate how well an organization intends to embed equity across program work, partnerships and constituencies served.",
Theodore Roosevelt Conservation Partnership,"Diversity, equality, and inclusion in Western conservation means to us that people with cultural, racial, economic, rural/urban, and other differences are not only a part of the conversation and debate about how our natural resources are used, but they also represent our membership and leadership as an organization, a community, and an interest group.","As America becomes increasingly diverse, it is critical to the future of our cause and our organizations that the participants in our outdoor activities represent the changing face of America. Otherwise, conservation and our community will become increasingly irrelevant both politically and socially. Becoming diverse as a hunting/fishing conservation organization requires intentional effort because most public lands available to our recreational pursuits are located in rural areas near predominately white communities, while areas with the most cultural diversity are generally urban and are located farther from our public lands.","We have strong diversity and inclusion policies in our employee handbook, which was last updated in December. We are actively seeking diverse board members and staff. We have added NGO and corporate voices that specifically represent Hispanic interests.","The workplace culture is not the issue; the issue is finding diversity in the applicant pool of people who want to work for conservation. To remedy this we have started reaching out to institutions (like the University of Houston) that are very diverse, and reaching out to partners like the Hispanic Access Foundation.","First, support efforts that specifically bring together diverse constituencies and/or support efforts in places (like NM) where engaging diverse constituencies is necessary for success. Second, make unrestricted grants to key grantees, thereby lessening the need for those organizations to recruit traditional (not diverse) board members who can support the organization financially.","A key challenge is that the elected leaders of many of the key (from a conservation standpoint) western states are not diverse (look at the makeup of the WY, UT, ID and MT legislatures, for example). Eventually, demographics will change those, but in the meantime advocates need to deal with the reality of what they are. This is a fundamental roadblock to conservation NGO diversity."
Trout unlimited,"TU considers diversity, equity and inclusion in the context of Western Conservation to mean that communities and individuals who have a stake in the West's lands and waters have an opportunity to meaningfully engage in decisions about their management and, with respect to resources in the public domain, an opportunity to responsibly use and enjoy those resources. It also means that diverse perspectives on proper use of land and water should be understood and respected, particularly those of communities and people whose livelihoods, culture, traditions and well-being are closely tied to specific lands and waters. Lastly, it means that the West's lands and waters should be shared equitably, and, when used, to the maximum extent practicable used in a way that preserves their value for other users, both today and in the future.","These values are important because they provide principled direction regarding how our lands and waters should be managed and used. They foster a sharing ethic and encourage taking the long-view instead of focusing on short-term economic gain when establishing policy and making management decisions, which makes policies and management approaches more likely to be broadly embraced and durable.","A major priority for TU is to diversify our membership, staff and leadership, and to create a more welcoming and inclusive community that extends from chapters to councils to national. The goal of TU's Diversity Initiative—a priority within TU's 2015-2020 Strategic Plan—is to create effective strategies and programs to recruit a more diverse membership profile in TU; encourage diversity within leadership at the chapter, state and national levels; and to ensure every chapter creates a welcoming environment for TU members of different genders, ethnicities, ages and cultures to achieve the TU conservation mission. TU is also committed to providing equal employment opportunity in all of our employment programs and decisions. This policy applies to all terms and conditions of employment, including, but not limited to, recruitment and hiring, placement, promotion, termination, reductions in force, recall, transfer, leaves of absence, compensation, and training.","While TU's leadership recognizes there is a lack of diversity at the organization, there isn't the knowledge, time and resources to address the issue in as an aggressive manner as desired. The Foundation could be helpful in sharing guidance and resources on best practices around issues of diversity. It would be helpful to learn what has worked for the Foundation and other industry peers through summits, roundtables, research publications or trainings, so we can learn and grow as a community. Funding to address issues of diversity would be beneficial and could increase the rate at which this important topic can be addressed at TU and other conservation organizations.","We currently integrate these values in our programs, partnerships and constituent services, primarily through the conservation outcomes we seek, which are designed to ensure that the West's lands and waters are conserved and accessible to diverse communities. Resource constraints are an impediment to adding diversity to our partner network and member base, though we are committed to identifying and seizing such opportunities. The Hewlett Foundation's assistance in connecting us with potential non-traditional partners who share our mission focus would be beneficial.","Successfully integrating these three values in the Western Conservation strategy requires understanding the West's cultural, demographic and economic diversity in a geo-spatial context.  As the past year has clearly demonstrated, there is often a large divide separating rural and urban communities in the West due to cultural, economic and value differences. Based on our experience we firmly believe that narrowing and bridging this divide through dialogue and finding common interests between geographically and culturally separated communities is of paramount importance to the maintaining and restoring the West's ecological integrity. We offer that the Hewlett Foundation would be well served to focus resources on strategies and tactics that achieve this goal and by increasing the capacity of grantees to more effectively build bridges between the West's rural and urban communities."
Western Conservation Foundation,"Healthy air, land and water are basic human rights. Unless development and industry are carefully managed, underprivileged (often minority) constituencies will be most impacted by the degradation of our environment. Social justice and conservation advocates should work together to defend against inequitable conservation policies, and to enact policies that protect our environment and our people. Beyond this, we should evolve beyond the stereotype of the white urban professional “environmentalist” to show the true diversity among Americans who use and love our public lands.","At the core of Western Conservation Foundation’s mission is the belief that when more constituencies are included in the public dialogue about conservation values, more lasting positive change will occur. WCF believes that, through inclusion of diverse constituencies, the west will reap the benefits of both stronger policies protecting our air, land and water, and of a broader base of environmental stewards, committed to ensuring the outdoor spaces they retreat to for fun and solace are protected. Beyond this, regressive environmental policies often have an outsized impact on low-income, often minority communities. It is the job of all conservation advocates to expose and fight this social inequity.","WCF does not have formal practices for integrating diversity, equity and inclusion into our hiring practices. We recently held a day-long training with the Management Center that included a discussion of best practices around integrating diversity, equity and inclusion into our workplace culture. Staff now have Management Center materials to help them determine how best to incorporate diversity, equity and inclusion into their program work. Beyond this, a core strategy of WCF is engaging nontraditional conservation voices, through which we encourage more diverse voices to engage and be heard on conservation issues.","Providing training in cultural competency to grantees and possibly even providing funding for re-granting organizations like WCF to offer similar trainings to our grantees would help WCF and our grantees to better integrate these values into our workplace culture. Further, this training could strengthen the pipeline of diverse job candidates for funding organizations like WCF.","Encouraging more diverse individuals and organizations to become engaged in conservation issues would further integrate these values throughout the conservation community. This could be done through a leadership recruitment/training program focused on diverse constituencies or through integration of social justice or minority focused organizations into conservation coalitions. Also, the more our elected officials hear from organizations and constituents from diverse backgrounds about the need for conservation leadership, the more they will associate these important stakeholders with the need for conservation protections; thus further integrating these values into our communities and organizations.","We hope that the Foundation will consider helping to forge uncommon partnerships amongst its grantees representing different constituencies. Often organizations representing different constituencies share similar advocacy goals but they do not work collaboratively to reach those goals. While any new partnership can present short-term challenges, they offer valuable lessons to each organization and (when strategically formed) create a formidable force for change."
Western Landowners Alliance,"In the context of Western Conservation, diversity, equity and inclusion means more than ensuring different types of people have a nominal seat at the table. It means recognizing and creating opportunities and contexts which invite, inspire and empower full participation, ownership and leadership. It also means recognizing the legitimacy and value of different stakeholders and perspectives.","Successful and enduring conservation on an increasingly crowded planet can only succeed through cooperation, which in turn requires positive working relationships built on trust.This means we have to be able to know and understand one another across differences, which requires respect, equity and inclusivity. In addition, societal wellbeing and ecological health go hand-in-hand. Both people and land bear the consequences of social and economic inequity and strife. Finally, as diversity enriches an ecosystem, so diverse human perspectives and values enrich our collective knowledge and interaction with the world around us.","While WLA does not recruit staff based on specific diversity targets, we welcome diversity and maintain an environment of equity and inclusion. While our staff is relatively small and does at the moment lack the degree of racial diversity we would like to see, we have had greater racial diversity at times and are currently highly diverse in terms of gender, age, religion, ethnicity and sexual orientation. The values and expectations around diversity, equity and inclusion are openly discussed and promoted at every level of the organization.","Perhaps the foundation could help by identifying channels through which organizations can attract diverse and qualified job applicants. We often feel our applicant pool is too limited. We post our job openings on the usual environmental sites, High Country News and to our networks, for example. We used to advertise on Monster and Indeed but have been unable to find qualified candidates in the past from either of those sites.","We need to be able to build relationships and collaborate with different groups, but that takes time and investment. So much of conservation has focused on ""acres conserved"" or ""stream miles restored"" with far less emphasis on building positive relationships. Providing funding to engage with diverse stakeholders could be helpful. Asking grantees to consider and report on these values in the course of their work is also a useful way to make sure they remain a focus and priority.","Support place-based collaborative conservation. Consider the ways in which conservation actions may impact livelihoods, rural economies and cultures. Support communications and educational outreach designed to engage diverse people. Provide support for women's development and leadership at the intersection of agriculture and conservation."
Western Resource Advocates,"In addition to the overall need to apply DEI to our organization’s hiring and employment practices, our understanding of DEI in relation to Western Conservation includes:  1) The need to diversify the set of partners we collaborate with in order to leverage their unique perspective and influence, and 2) The need to build leaders within the community with a broader range of skill sets and racial and ethnic backgrounds.","If we hope to secure lasting solutions to conservation challenges, then we must do a more effective job of building support by incorporating more diverse perspectives, values, and concerns into our agenda. Western communities are increasingly diverse. For our team to develop truly viable, comprehensive goals and strategies, it must be comprised of individuals with different backgrounds and perspectives.","WRA’s Senior Leadership Team recently developed our first DEI goals and strategies for the organization. We committed to ensure that 50% of our new hires in 2018 are people of color and that we create leadership opportunities for women and diverse employees. We plan to develop and publish our commitment to diversity on our website, more actively recruit diverse candidates, ensure that job postings use language that is gender balanced, create mentoring opportunities for junior staff and identify partnerships with multicultural organizations to create a fellowship or internship program.","As an important part of our short- and long-term priority goals, WRA leadership is committed to becoming a more diverse organization; however, we would benefit enormously from increased access to best practices, expertise, and networking opportunities.","As part of the proposal process, and when appropriate, encouraging or requiring organizations to identify the communities that their proposed work will serve, and how they considered DEI in their proposal, could increase awareness and efforts to further integrate these values. In addition, support for organizations to provide entry-level training opportunities and fellowships that develop diverse individuals’ skills and competencies, could provide opportunities for those individuals to advance into other roles within the organization.",Facilitate partnerships between diverse entities and existing grantees in addition to supporting separate campaigns that promote diverse voices. There are a lot of white faces at our coalition meetings. The Foundation is uniquely positioned to get the right people in a room together to work toward shared goals.
Western Rivers Conservancy,"When Western Rivers Conservancy (WRC) acquires land along a river, it becomes a publicly accessible, community treasure. Not for some, but for all. WRC knows that healthy rivers provide wide-ranging benefits for people of all backgrounds, ensuring clean water, offering outdoor experiences that connect people with nature, and providing natural flood-plain services that keeps communities safe during times of high water. We partner with indigenous and rural communities, farmers, ranchers and other stakeholders that are not typically at the table for environmental causes. WRC believes it is important to partner with many diverse groups to make our projects richer, stronger and more successful in the long-term.","WRC recognize that our mission is best served by a board and staff from diverse backgrounds and cultures, and we are committed to creating an organization that reflects the diversity of the communities we serve. We are also committed to maintaining a culture that is not only free from discrimination, but actively inclusive of the rich and varied perspectives that diversity brings. WRC strives to be a place of fairness and openness regardless of differences in culture, background or point of view. At the core of these commitments is our fundamental belief in the dignity and value of each individual, and the knowledge that we are at our best when working together to save the great rivers of the West.","On both the Board and staff level, we’ve spoken frequently about our desire to increase diversity at WRC. In October 2017, our Board approved a resolution affirming WRC’s commitment to diversity, equity and inclusion. In the next year, we will plan to hire a DEI consultant to conduct an organizational DEI assessment and develop plans to enhance our organizational DEI capacity.","The Hewlett Foundation can continue to share best practices that you have identified while advancing your own organization DEI capacity. For example, it was helpful to receive the Sample Demographic Data Survey Form included in your survey materials.",Hewlett can share more anecdotes/examples about how different organizations have incorporated DEI values and integrated them with their mission and strategic goals.,"In these times, the Hewlett Foundation could help conservation organizations, all at various stages in their DEI work, learn how to move their DEI values and goals forward, while simultaneously advancing their mission work."
Wild Salmon Center,"Historically, the conservation movement has excluded poor communities and communities of color. These same communities are disproportionately impacted by climate change, salmon declines, deforestation, and pollution. A conservation movement that truly embraces diversity, equity, and inclusion is one that addresses the historical impact of our exclusion and incorporates environmental justice into every aspect of its work. It’s about protecting water, air quality, and fish and wildlife habitat as well as ensuring equitable access to these shared natural resources.","Addressing the FULL ecological, cultural, economic, and health impacts of environmental destruction requires us to commit to diversity, equity, and inclusion values. We cannot be successful in this work if we ignore the impacts on our society’s most marginalized communities. These values are also important for building a constituency for the future. As a country we are diversifying. If conservation organizations want to secure lasting conservation wins we need to build a broader base of donors and activists to support us and the work long-term.","WSC created a DEI committee in the fall of 2016 to lead the organization’s efforts to become more fully inclusive. In 2017 the committee conducted a self-audit using the Tool for Organizational Self-Assessment Related to Racial Equity created by the Coalition of Communities of Color. The audit was extremely helpful for identifying several growth opportunities for the organization including workforce composition and quality, community collaboration, board diversification, racial equity policies and implementation practices, data collection, and others. Last month we were awarded a grant from the Meyer Memorial Trust to hire an outside consultant to lead the organization on a series of DEI trainings in 2018. Our DEI committee has already started working with the consultant and has a day-long Discovery retreat scheduled for February 15th.","Providing learning opportunities through workshops, webinars, and mentorship programs; giving grants to hire consultants or attend DEI trainings; and/or creating/maintaining a “library” of DEI resources for organizations to access. Funding to recruit/hire interns specifically from marginalized communities would benefit organizations as well as provide training opportunities for individuals.","In addition to the suggestions in #20, collaborative planning grants would be helpful to encourage different groups to work together and to make collaboration possible. Sometimes hiring an outside consultant to guide the groups is key to success, but often cost prohibitive. Simply continuing to push the issue in the western conservation community is huge! The more foundations prioritize (and fund) this work, the more nonprofits will work towards integrating DEI values in all aspects of our work.","Hire people of color, women of color in particular, indigenous people, and LGBTQ+ folks and promote them throughout your foundation. The more people of color, indigenous people, and LGBTQ+ people you have working in high-level positions/shaping your programmatic priorities, the better. Follow the lead of the most marginalized."
Windward Fund (Water Funders Initiative),,,"Providing a vehicle for inclusive and equitable grantmaking that can elevate the voices of those most impacted by environmental degradation is one of Windward Fund’s three strategic goals approved by our board, in order to help Windward build a stronger environmental movement. The Windward Board and staff are still fleshing out our strategic plan on how to most effectively implement this goal, but steps that we are building out implementation plans for include: increasing access to training and capacity-building resources for projects (including webinars on topics such as incorporating DEI into hiring practices) and facilitating information exchange across projects (network-building). Windward’s Board is considering how we can best engage with sector-wide initiatives to promote DEI in environmental grantmaking (such as Green 2.0 and InDEEP) and identify practices and trainings that Windward can recommend to its projects.   Windward is managed by staff from Arabella Advisors, a philanthropic consulting firm that has invested heavily in diversity, equity, and inclusion, and Windward draws on Arabella’s expertise in various ways. As our organization grows and the social sector evolves, we will continue to work to ensure that our staff and board represent the diverse populations we serve.",,,
